Iteration,Score,Nodes Processed
0,1,894859
1,0,901883
2,0,883538
3,0,807161
4,1,769950
5,1,673737
6,0,851953
7,1,699788
8,0,885743
9,0,815275
10,1,911872
11,1,696255
12,1,906346
13,0,898983
14,0,916975
15,0,906278
16,1,974999
17,1,771542
18,1,860959
19,0,831496
20,1,921646
21,0,841671
22,1,887630
23,1,727962
24,0,1079171
25,0,870750
26,0,894809
27,0,962447
28,0,914152
29,0,802686
30,0,922108
31,0,744628
32,1,929495
33,0,608699
34,0,961273
35,-1,710324
36,0,696474
37,1,644836
38,0,774567
39,0,723816
40,0,786409
41,1,951812
42,1,797192
43,-1,886352
44,0,844056
45,0,930422
46,1,892250
47,0,789051
48,0,991450
49,0,818828
50,1,874758
51,1,645501
52,-1,596044
53,1,939114
54,1,892410
55,0,821574
56,0,908964
57,0,875185
58,0,1062285
59,1,837607
60,0,940403
61,0,950939
62,0,865700
63,1,834431
64,0,892590
65,1,712809
66,0,725697
67,1,832845
68,0,898682
69,0,826757
70,1,991373
71,0,908148
72,0,826963
73,0,635258
74,1,1021000
75,0,1021811
76,1,805683
77,1,815493
78,0,823328
79,-1,771252
80,0,870223
81,0,827998
82,1,881635
83,0,909945
84,1,936426
85,1,716477
86,0,780206
87,0,868925
88,1,646158
89,1,955862
90,0,788744
91,1,698211
92,1,986889
93,-1,869101
94,0,982606
95,0,991287
96,1,865349
97,0,854191
98,1,846940
99,0,942467
