Iteration,Score,Nodes Processed
0,-1,44575
1,-1,45275
2,-1,44484
3,-1,57991
4,0,60485
5,-1,46415
6,-1,39485
7,0,56397
8,0,54879
9,-1,61857
10,-1,37909
11,-1,45492
12,1,60683
13,-1,46326
14,-1,48583
15,0,52921
16,-1,37399
17,-1,57104
18,0,58386
19,-1,57566
20,-1,64559
21,-1,50871
22,-1,53713
23,-1,41425
24,-1,53365
25,0,66199
26,-1,40152
27,-1,53568
28,0,59084
29,-1,45313
30,0,63874
31,-1,58073
32,-1,54938
33,-1,52754
34,-1,57110
35,-1,73133
36,-1,41364
37,0,62574
38,-1,40880
39,-1,43387
40,-1,45340
41,0,47883
42,-1,55133
43,-1,49120
44,-1,62109
45,1,50791
46,0,47356
47,-1,33152
48,0,77826
49,-1,46158
50,-1,63268
51,-1,41363
52,-1,38470
53,-1,49140
54,-1,58298
55,-1,62100
56,1,53100
57,-1,49154
58,0,57715
59,-1,64849
60,0,72852
61,1,57621
62,-1,46780
63,-1,53655
64,-1,66315
65,1,64238
66,-1,73247
67,-1,56046
68,0,73994
69,0,63724
70,-1,64888
71,0,63376
72,-1,60148
73,-1,50547
74,-1,48978
75,-1,44857
76,0,64713
77,-1,42747
78,-1,55975
79,-1,43699
80,-1,74362
81,-1,50174
82,-1,43983
83,-1,55743
84,-1,52912
85,-1,44697
86,0,52561
87,1,49676
88,-1,57399
89,-1,60817
90,-1,32856
91,-1,56854
92,-1,50940
93,1,60020
94,-1,24982
95,-1,54207
96,0,53425
97,-1,55138
98,-1,55799
99,-1,38547
