Epoch,Training Error,Testing Error
0,3047.054932,2895.415039
1,3041.765137,2890.236816
2,3035.25293,2883.895996
3,3026.467285,2875.409668
4,3013.780273,2863.247314
5,2994.583984,2844.918213
6,2964.312256,2816.068848
7,2915.327393,2769.453125
8,2836.950684,2694.870361
9,2717.869873,2581.3479
10,2552.788818,2423.537598
11,2354.749512,2233.630371
12,2163.364502,2049.434082
13,2023.930908,1914.68811
14,1946.003418,1839.287354
15,1903.932983,1799.017822
16,1874.281494,1771.284912
17,1848.130127,1747.233032
18,1823.535278,1724.579712
19,1800.3396,1702.918213
20,1778.332275,1681.943604
21,1757.30188,1661.592529
22,1737.165405,1641.957886
23,1717.891479,1623.08606
24,1699.461548,1604.987793
25,1681.834106,1587.637817
26,1664.961792,1570.997559
27,1648.804321,1555.031494
28,1633.32605,1539.703735
29,1618.491821,1524.973877
30,1604.268311,1510.788452
31,1590.624878,1497.075195
32,1577.537109,1483.765503
33,1564.984741,1470.837524
34,1552.94397,1458.31604
35,1541.376221,1446.229248
36,1530.241577,1434.592773
37,1519.546997,1423.455933
38,1509.365479,1412.926025
39,1499.741211,1403.079956
40,1490.638306,1393.898071
41,1481.979614,1385.305176
42,1473.672607,1377.202515
43,1465.609985,1369.47583
44,1457.681763,1362.013916
45,1449.838623,1354.765869
46,1442.173706,1347.78833
47,1434.831177,1341.17749
48,1427.863159,1334.961548
49,1421.245117,1329.110352
50,1414.936646,1323.584595
51,1408.901733,1318.351563
52,1403.111328,1313.383179
53,1397.542969,1308.655396
54,1392.180542,1304.149414
55,1387.011597,1299.850708
56,1382.022217,1295.745117
57,1377.19812,1291.818726
58,1372.525635,1288.057251
59,1367.991577,1284.447998
60,1363.584839,1280.977783
61,1359.293945,1277.633423
62,1355.108398,1274.401855
63,1351.018677,1271.271484
64,1347.015503,1268.231689
65,1343.089966,1265.273682
66,1339.233643,1262.388794
67,1335.438599,1259.570313
68,1331.697144,1256.812378
69,1328.005005,1254.111572
70,1324.359985,1251.466309
71,1320.76355,1248.876831
72,1317.219727,1246.342773
73,1313.732788,1243.86377
74,1310.306641,1241.438599
75,1306.943848,1239.065063
76,1303.644775,1236.741577
77,1300.408691,1234.46582
78,1297.234253,1232.236084
79,1294.118408,1230.050537
80,1291.058228,1227.907471
81,1288.050903,1225.806519
82,1285.093384,1223.746582
83,1282.183472,1221.728149
84,1279.31897,1219.75061
85,1276.498291,1217.814819
86,1273.720337,1215.92041
87,1270.984375,1214.068359
88,1268.290161,1212.258179
89,1265.637573,1210.490112
